Common Name,Latitude,Longitude,Photos,Primary ID,Status,Tree Number,Overall Monetary Benefit,Stormwater Monetary Benefit,Runoff Prevention (Gallons),Property Value Total,Energy Savings,Energy Saved (kWh),Natural Gas Savings,Heat Prevention (Therms),Air Quality Monetary Benefit,Pollutants removed (lb),Carbon Monetary Benefit,Carbon Stored (lb),Carbon Sequestered (lb),Carbon Avoided (lb)
"""Crimson King"" Norway Maple",40.35016435,-74.64871265,,7762,Alive,1,172.26,33.1512,3069.56,103.166,11.8873,186.907,14.0375,15.4836,5.24132,2.5866,4.77669,636.892,302.584,412.153
"""Crimson King"" Norway Maple",40.35125488,-74.65154104,,7738,Alive,1,112.957,53.4511,4949.17,0.169154,22.3688,351.711,22.2266,24.5164,10.3954,5.0806,4.34649,579.532,0.462374,775.564
"""Crimson King"" Norway Maple",40.35150885,-74.64945562,,7658,Alive,1,143.885,21.2206,1964.87,97.5826,7.98721,125.585,10.7608,11.8694,2.67057,1.36872,3.66359,488.478,249.107,276.93
"""Crimson King"" Norway Maple",40.35024305,-74.64949049,,7534,Alive,1,174.914,34.6426,3207.65,102.881,12.4421,195.631,14.4733,15.9644,5.5861,2.75031,4.88882,651.842,304.137,431.39
"""Crimson King"" Norway Maple",40.34855598,-74.63798215,,3511,Alive,1,71.4036,15.2636,1413.3,36.4725,6.10099,95.9276,9.03142,9.96185,1.6685,0.881957,2.86655,382.207,194.176,211.532
"""Crimson King"" Norway Maple",40.34858574,-74.63809139,,2162,Alive,1,71.4036,15.2636,1413.3,36.4725,6.10099,95.9276,9.03142,9.96185,1.6685,0.881957,2.86655,382.207,194.176,211.532
"""Winter King"" Hawthorn",40.3505016,-74.65283569,,3835,Alive,1,67.8687,13.7765,1275.6,35.8645,5.57809,87.7057,8.55004,9.43088,1.46537,0.779326,2.63419,351.225,178.527,193.402
"""Winter King"" Hawthorn",40.34667751,-74.65200573,,3820,Alive,1,66.5199,2.58992,323.74,51.7538,1.72995,12.3479,8.69403,6.17474,1.52946,0.319654,0.222744,66.6899,35.8586,37.1139
"""Winter King"" Hawthorn",40.34669488,-74.6519427,,3819,Alive,1,61.3928,1.64483,205.604,51.8172,1.1158,7.96428,5.67471,4.03033,0.990754,0.207034,0.149523,44.7675,25.1924,23.938
"""Winter King"" Hawthorn",40.34673577,-74.65177238,,3818,Alive,1,61.3928,1.64483,205.604,51.8172,1.1158,7.96428,5.67471,4.03033,0.990754,0.207034,0.149523,44.7675,25.1924,23.938
"""Winter King"" Hawthorn",40.34674701,-74.6517241,,3817,Alive,1,56.2656,0.699733,87.4667,51.8805,0.501644,3.58061,2.65538,1.88592,0.452046,0.0944136,0.0763024,22.845,14.5261,10.7621
"""Winter King"" Hawthorn",40.34627569,-74.65580458,,3816,Alive,1,78.9345,4.5688,571.1,51.5291,3.38882,24.1886,16.0847,11.4238,2.97896,0.622035,0.384088,114.996,55.2292,72.7029
"""Winter King"" Hawthorn",40.34629128,-74.65575404,,3815,Alive,1,85.5018,5.57302,696.628,51.4004,4.29002,30.6211,20.0054,14.2084,3.76572,0.786083,0.467243,139.893,64.5875,92.037
"""Winter King"" Hawthorn",40.34620437,-74.65590586,,2340,Alive,1,66.5199,2.58992,323.74,51.7538,1.72995,12.3479,8.69403,6.17474,1.52946,0.319654,0.222744,66.6899,35.8586,37.1139
"""Winter King"" Hawthorn",40.34631054,-74.6557011,,2339,Alive,1,66.5199,2.58992,323.74,51.7538,1.72995,12.3479,8.69403,6.17474,1.52946,0.319654,0.222744,66.6899,35.8586,37.1139
"""Winter King"" Hawthorn",40.34612199,-74.65588759,,1974,Alive,1,66.5199,2.58992,323.74,51.7538,1.72995,12.3479,8.69403,6.17474,1.52946,0.319654,0.222744,66.6899,35.8586,37.1139
"""Winter King"" Hawthorn",40.34632725,-74.65565762,,207,Alive,1,66.5199,2.58992,323.74,51.7538,1.72995,12.3479,8.69403,6.17474,1.52946,0.319654,0.222744,66.6899,35.8586,37.1139
"""Winter King"" Hawthorn",40.34616906,-74.65596329,,82,Alive,1,66.5199,2.58992,323.74,51.7538,1.72995,12.3479,8.69403,6.17474,1.52946,0.319654,0.222744,66.6899,35.8586,37.1139
"""Winter King"" Hawthorn",40.34623127,-74.65586884,,81,Alive,1,66.5199,2.58992,323.74,51.7538,1.72995,12.3479,8.69403,6.17474,1.52946,0.319654,0.222744,66.6899,35.8586,37.1139
Accolade Elm,40.33922182,-74.63539347,,5172,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33924226,-74.63542029,,5171,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33925862,-74.63544309,,5170,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33927497,-74.63546991,,5169,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33929337,-74.63549271,,5168,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.3392024,-74.63536531,,5155,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.3393128,-74.63551819,,5154,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33920342,-74.63530362,,5153,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33922182,-74.63533312,,5152,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33923204,-74.63535592,,5151,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.3392484,-74.63537872,,5150,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33926577,-74.63540286,,5149,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33928008,-74.635427,,5148,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33929542,-74.63544577,,5147,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33931075,-74.63546857,,5146,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33933017,-74.63549539,,5145,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33934346,-74.63551819,,5144,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33936084,-74.63553965,,5143,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
Accolade Elm,40.33938026,-74.63556379,,5142,Alive,1,56.9139,0.269897,24.9905,56.2279,0.130605,2.05354,0.1563,0.172403,0.0166312,0.00962773,0.112552,15.0069,11.4043,4.5283
