Common Name,Latitude,Longitude,Status,Primary ID
Crimson King Norway Maple,40.35016435,-74.64871265,Alive,7762
Crimson King Norway Maple,40.35125488,-74.65154104,Alive,7738
Crimson King Norway Maple,40.35150885,-74.64945562,Alive,7658
Crimson King Norway Maple,40.35024305,-74.64949049,Alive,7534
Crimson King Norway Maple,40.34855598,-74.63798215,Alive,3511
Crimson King Norway Maple,40.34858574,-74.63809139,Alive,2162
Winter King Hawthorn,40.3505016,-74.65283569,Alive,3835
Winter King Hawthorn,40.34667751,-74.65200573,Alive,3820
Winter King Hawthorn,40.34669488,-74.6519427,Alive,3819
Winter King Hawthorn,40.34673577,-74.65177238,Alive,3818
Winter King Hawthorn,40.34674701,-74.6517241,Alive,3817
Winter King Hawthorn,40.34627569,-74.65580458,Alive,3816
Winter King Hawthorn,40.34629128,-74.65575404,Alive,3815
Winter King Hawthorn,40.34620437,-74.65590586,Alive,2340
Winter King Hawthorn,40.34631054,-74.6557011,Alive,2339
Winter King Hawthorn,40.34612199,-74.65588759,Alive,1974
Winter King Hawthorn,40.34632725,-74.65565762,Alive,207
Winter King Hawthorn,40.34616906,-74.65596329,Alive,82
Winter King Hawthorn,40.34623127,-74.65586884,Alive,81
Accolade Elm,40.33922182,-74.63539347,Alive,5172
Accolade Elm,40.33924226,-74.63542029,Alive,5171
Accolade Elm,40.33925862,-74.63544309,Alive,5170
Accolade Elm,40.33927497,-74.63546991,Alive,5169
Accolade Elm,40.33929337,-74.63549271,Alive,5168
Accolade Elm,40.3392024,-74.63536531,Alive,5155
Accolade Elm,40.3393128,-74.63551819,Alive,5154
Accolade Elm,40.33920342,-74.63530362,Alive,5153
Accolade Elm,40.33922182,-74.63533312,Alive,5152
Accolade Elm,40.33923204,-74.63535592,Alive,5151
Accolade Elm,40.3392484,-74.63537872,Alive,5150
Accolade Elm,40.33926577,-74.63540286,Alive,5149
Accolade Elm,40.33928008,-74.635427,Alive,5148
Accolade Elm,40.33929542,-74.63544577,Alive,5147
Accolade Elm,40.33931075,-74.63546857,Alive,5146
Accolade Elm,40.33933017,-74.63549539,Alive,5145
Accolade Elm,40.33934346,-74.63551819,Alive,5144
Accolade Elm,40.33936084,-74.63553965,Alive,5143
Accolade Elm,40.33938026,-74.63556379,Alive,5142
Accolade Elm,40.33940071,-74.6355933,Alive,5139
American Basswood,40.3480047,-74.64985058,Alive,8586
American Basswood,40.34808136,-74.64765385,Alive,8518
American Basswood,40.34761246,-74.66182688,Alive,3376
American Basswood,40.34880706,-74.63741386,Alive,960
American Beech,40.3401551,-74.66644809,Alive,9441
American Beech,40.34653799,-74.65715624,Alive,9428
American Beech,40.34924091,-74.65634018,Alive,9419
American Beech,40.33974775,-74.66610879,Alive,9353
American Beech,40.34038305,-74.63633493,Alive,9352
American Beech,40.34037692,-74.636347,Alive,9351
American Beech,40.34036977,-74.63636175,Alive,9350
American Beech,40.34149929,-74.66549054,Alive,9348
American Beech,40.34038919,-74.63634297,Alive,9347
American Beech,40.34651499,-74.65334617,Alive,9133
American Beech,40.34645315,-74.65382628,Alive,9112
American Beech,40.34245912,-74.66025822,Alive,8888
American Beech,40.34267582,-74.66023542,Alive,8884
American Beech,40.34275811,-74.6600356,Alive,8879
American Beech,40.34297123,-74.65982907,Alive,8855
American Beech,40.34296714,-74.65965874,Alive,8853
American Beech,40.34307958,-74.65863951,Alive,8804
American Beech,40.34304329,-74.6587877,Alive,8759
American Beech,40.34269729,-74.65855971,Alive,8745
American Beech,40.34254141,-74.65846583,Alive,8735
American Beech,40.34246219,-74.6589084,Alive,8684
American Beech,40.34459032,-74.65238392,Alive,8320
American Beech,40.34471707,-74.65248317,Alive,8316
American Beech,40.34524654,-74.65287142,Alive,8310
American Beech,40.34533597,-74.65288214,Alive,8309
American Beech,40.34480855,-74.65240471,Alive,8295
American Beech,40.34469816,-74.65233229,Alive,8293
American Beech,40.34467312,-74.65227596,Alive,8292
American Beech,40.3444784,-74.65211637,Alive,8289
American Beech,40.34445642,-74.65206273,Alive,8288
American Beech,40.34583835,-74.65320803,Alive,8251
American Beech,40.34624669,-74.65348162,Alive,8238
American Beech,40.34624106,-74.65327106,Alive,8231
American Beech,40.3445755,-74.66096699,Alive,8113
American Beech,40.34462508,-74.66078058,Alive,8112
American Beech,40.34446204,-74.64423202,Alive,7906
American Beech,40.34881573,-74.64914851,Alive,7831
American Beech,40.34885815,-74.64917667,Alive,7830
American Beech,40.34167715,-74.66011539,Alive,7293
American Beech,40.3417252,-74.66016501,Alive,7291
American Beech,40.34869819,-74.66433518,Removed,7163
American Beech,40.34951585,-74.66511168,Alive,7117
American Beech,40.34959864,-74.66519617,Alive,7113
American Beech,40.34109399,-74.66724738,Alive,7024
American Beech,40.3407582,-74.66715015,Alive,6520
American Beech,40.340841,-74.6662952,Alive,6432
American Beech,40.34027777,-74.66608196,Alive,6140
American Beech,40.33232401,-74.65699933,Alive,6032
American Beech,40.3323879,-74.6568317,Alive,6031
American Beech,40.33252592,-74.65674654,Alive,6025
American Beech,40.33262457,-74.65685248,Alive,6024
American Beech,40.33324512,-74.65677068,Alive,5992
American Beech,40.33297779,-74.65668954,Alive,5985
American Beech,40.33982339,-74.66592506,Alive,5833
American Beech,40.33993635,-74.66537185,Alive,5778
American Beech,40.34200221,-74.66544963,Alive,5721
American Beech,40.34182282,-74.66520019,Alive,5712
American Beech,40.3420155,-74.66525115,Alive,5628
American Beech,40.34161787,-74.66513179,Alive,5583
American Beech,40.34176046,-74.66502182,Alive,5579
American Beech,40.33979835,-74.63442788,Alive,5395
American Beech,40.33978097,-74.63446811,Alive,5394
American Beech,40.33896013,-74.63509306,Alive,5200
American Beech,40.33898057,-74.63512257,Alive,5199
American Beech,40.33899591,-74.63514805,Alive,5198
American Beech,40.33901431,-74.63517219,Alive,5197
American Beech,40.33903168,-74.63519901,Alive,5196
American Beech,40.33904702,-74.63522449,Alive,5195
American Beech,40.33906746,-74.63524997,Alive,5194
American Beech,40.33908586,-74.63527411,Alive,5193
American Beech,40.33910426,-74.63529959,Alive,5192
American Beech,40.3394646,-74.63572606,Alive,5066
American Beech,40.33948351,-74.6357502,Alive,5065
American Beech,40.33950957,-74.63579044,Alive,5064
American Beech,40.33953871,-74.63581726,Alive,5063
American Beech,40.33956477,-74.63585213,Alive,5062
American Beech,40.33958573,-74.63588297,Alive,5061
American Beech,40.33961077,-74.63590711,Alive,5060
American Beech,40.33962866,-74.63594466,Alive,5059
American Beech,40.33965882,-74.63597685,Alive,5058
American Beech,40.33968488,-74.63599831,Alive,5057
American Beech,40.34037999,-74.63636041,Alive,4859
American Beech,40.3415412,-74.66523036,Alive,4857
American Beech,40.34631721,-74.65837598,Alive,4856
American Beech,40.3402287,-74.63484094,Alive,4554
American Beech,40.3402655,-74.63489458,Alive,4553
American Beech,40.34028441,-74.63492945,Alive,4552
American Beech,40.34030843,-74.634967,Alive,4551
American Beech,40.34033399,-74.63500187,Alive,4550
American Beech,40.34035494,-74.63503003,Alive,4549
American Beech,40.34037385,-74.63505685,Alive,4548
American Beech,40.34039225,-74.63508099,Alive,4547
American Beech,40.33433542,-74.6570588,Alive,4296
American Beech,40.34922205,-74.65898323,Alive,4003
American Beech,40.34737726,-74.65963633,Alive,3918
American Beech,40.34319287,-74.65690366,Alive,3608
American Beech,40.34116113,-74.65541085,Alive,3599
American Beech,40.34711031,-74.66007181,Removed,3439
American Beech,40.34323536,-74.65701975,Alive,3430
American Beech,40.34750614,-74.65913653,Alive,3422
American Beech,40.34750445,-74.65899643,Alive,3420
American Beech,40.34740355,-74.65946252,Alive,3217
American Beech,40.343178,-74.65825414,Alive,3127
American Beech,40.34950038,-74.63785256,Alive,3000
American Beech,40.34933026,-74.63799857,Alive,2998
American Beech,40.3433165,-74.65680096,Alive,2947
American Beech,40.34521267,-74.65626029,Alive,2919
American Beech,40.3474455,-74.65935782,Alive,2859
American Beech,40.34204241,-74.65542428,Alive,2832
American Beech,40.34184686,-74.65555922,Alive,2790
American Beech,40.34185951,-74.65550939,Alive,2789
American Beech,40.341863,-74.65549137,Alive,2788
American Beech,40.34429534,-74.65867172,Alive,2776
American Beech,40.34433477,-74.65862594,Alive,2775
American Beech,40.34284517,-74.65648454,Alive,2758
American Beech,40.3430373,-74.65688889,Alive,2724
American Beech,40.3435792,-74.6570715,Alive,2708
American Beech,40.34349043,-74.65709803,Alive,2707
American Beech,40.34350909,-74.65728626,Alive,2706
American Beech,40.34332644,-74.65712968,Alive,2704
American Beech,40.34329672,-74.65784593,Alive,2690
American Beech,40.34080561,-74.65703658,Alive,2679
American Beech,40.34821725,-74.65725514,Alive,2597
American Beech,40.34802422,-74.65718413,Alive,2596
American Beech,40.34899578,-74.661707,Alive,2493
American Beech,40.34861432,-74.66288405,Alive,2286
American Beech,40.34165525,-74.65557783,Alive,2233
American Beech,40.34811821,-74.65619442,Alive,2197
American Beech,40.3496393,-74.65947678,Alive,1902
American Beech,40.34743675,-74.65884743,Alive,1886
American Beech,40.34183304,-74.65545952,Alive,1828
American Beech,40.34206146,-74.65551625,Alive,1565
American Beech,40.34213167,-74.65557367,Alive,1430
American Beech,40.34209051,-74.65554985,Alive,1428
American Beech,40.34200896,-74.65553625,Alive,1426
American Beech,40.34302529,-74.65614309,Alive,1411
American Beech,40.34300249,-74.65643197,Alive,1384
American Beech,40.3430036,-74.65646559,Alive,1383
American Beech,40.342843,-74.6564767,Alive,1380
American Beech,40.3429867,-74.65651764,Alive,1379
American Beech,40.34296927,-74.65646538,Alive,1378
American Beech,40.34294466,-74.65645963,Alive,1377
American Beech,40.34164907,-74.65558689,Alive,1376
American Beech,40.34295455,-74.65651053,Alive,1375
American Beech,40.34296621,-74.65655411,Alive,1374
American Beech,40.34301615,-74.65656431,Alive,1372
American Beech,40.34302479,-74.65652349,Alive,1371
American Beech,40.34305907,-74.65653383,Alive,1365
American Beech,40.34314497,-74.65656876,Alive,1362
American Beech,40.34320276,-74.65660265,Alive,1360
American Beech,40.34321843,-74.65662002,Alive,1359
American Beech,40.3432773,-74.65660831,Alive,1354
American Beech,40.34326815,-74.65657134,Alive,1353
American Beech,40.34287201,-74.6564308,Alive,1346
American Beech,40.34294933,-74.65639374,Alive,1341
American Beech,40.34295359,-74.65640768,Alive,1340
American Beech,40.3429881,-74.65690667,Alive,1277
American Beech,40.34305642,-74.65699488,Alive,1275
American Beech,40.34314738,-74.65699808,Alive,1272
American Beech,40.34320918,-74.65700968,Alive,1270
American Beech,40.34323712,-74.65686967,Alive,1269
American Beech,40.34325861,-74.65689236,Alive,1268
American Beech,40.34320736,-74.65819632,Alive,1216
American Beech,40.34183435,-74.65541164,Alive,1197
American Beech,40.34183249,-74.65543743,Alive,1196
American Beech,40.34178579,-74.65544348,Alive,1195
American Beech,40.34306883,-74.65662063,Alive,1185
American Beech,40.34104909,-74.65532276,Alive,1165
American Beech,40.34176874,-74.65542274,Alive,1063
American Beech,40.34341941,-74.65771036,Alive,1049
American Beech,40.34790059,-74.65754453,Alive,992
American Beech,40.34789339,-74.65766321,Alive,991
American Beech,40.34769966,-74.65833706,Alive,989
American Beech,40.34766945,-74.65845673,Alive,988
American Beech,40.34750625,-74.65870466,Alive,980
American Beech,40.34757211,-74.65839385,Alive,974
American Beech,40.34772744,-74.65790246,Alive,973
American Beech,40.34783397,-74.65752818,Alive,971
American Beech,40.34791623,-74.65718986,Alive,900
American Beech,40.34794772,-74.65694958,Alive,896
American Beech,40.34798978,-74.65685669,Alive,895
American Beech,40.3481023,-74.65671667,Alive,893
American Beech,40.34805137,-74.65690578,Alive,892
American Beech,40.3481892,-74.65596674,Alive,874
American Beech,40.34807015,-74.65640436,Alive,872
American Beech,40.34803963,-74.6564866,Alive,871
American Beech,40.3481451,-74.65654346,Alive,870
American Beech,40.34823488,-74.65610859,Alive,863
American Beech,40.34834152,-74.6556725,Removed,862
American Beech,40.34951196,-74.65927601,Alive,794
American Beech,40.34647533,-74.65977551,Alive,641
American Beech,40.34729823,-74.65952509,Alive,627
American Beech,40.34713836,-74.65954998,Alive,626
American Beech,40.34695643,-74.66007763,Alive,622
American Beech,40.34720152,-74.65991336,Alive,620
American Beech,40.3470835,-74.66024615,Alive,619
American Beech,40.34738493,-74.65971948,Alive,594
American Beech,40.34747179,-74.65974436,Alive,589
American Beech,40.34506966,-74.6555121,Alive,563
American Beech,40.34754555,-74.65895323,Alive,457
American Beech,40.34817018,-74.65607961,Alive,348
American Beech,40.34891587,-74.66197187,Alive,224
American Beech,40.34946049,-74.65975233,Alive,178
American Beech,40.34280881,-74.65645334,Alive,39
American Elm,40.34924296,-74.65670496,Alive,9431
American Elm,40.34040759,-74.63630006,Alive,9357
American Elm,40.34039328,-74.63630542,Alive,9356
American Elm,40.34040248,-74.63631347,Alive,9355
American Elm,40.33739712,-74.64576758,Alive,9313
American Elm,40.3328137,-74.6396146,Alive,9310
American Elm,40.33282597,-74.63992439,Alive,9309
American Elm,40.33297318,-74.64011617,Alive,9308
American Elm,40.33700304,-74.64475773,Alive,9307
American Elm,40.33625986,-74.64380689,Alive,9306
American Elm,40.3361239,-74.64384913,Alive,9305
American Elm,40.33617603,-74.64393832,Alive,9304
American Elm,40.33546964,-74.64328922,Alive,9303
American Elm,40.33541699,-74.64319065,Alive,9302
American Elm,40.33501472,-74.6429982,Alive,9301
American Elm,40.33489563,-74.64301564,Alive,9300
American Elm,40.33461194,-74.64254357,Alive,9299
American Elm,40.33462779,-74.64259721,Alive,9298
American Elm,40.33465488,-74.64263745,Alive,9297
American Elm,40.33471468,-74.64263074,Alive,9296
American Elm,40.33380484,-74.644401,Alive,9295
American Elm,40.33391371,-74.64423604,Alive,9294
American Elm,40.33403128,-74.64409657,Alive,9293
American Elm,40.33410233,-74.64397587,Alive,9292
American Elm,40.33432161,-74.6437405,Alive,9288
American Elm,40.3343165,-74.64375056,Alive,9287
American Elm,40.33686862,-74.64523114,Alive,9286
American Elm,40.33276463,-74.65569377,Alive,9256
American Elm,40.34211056,-74.66011003,Alive,8914
American Elm,40.3427944,-74.66047414,Alive,8897
American Elm,40.3431404,-74.65867303,Alive,8807
American Elm,40.34717272,-74.65204798,Alive,8634
American Elm,40.3471625,-74.65019792,Alive,8475
American Elm,40.34719776,-74.6502623,Alive,8474
American Elm,40.34718089,-74.65031326,Alive,8473
American Elm,40.34714563,-74.65034008,Alive,8472
American Elm,40.3447508,-74.66040105,Alive,8146
American Elm,40.34460923,-74.66045469,Alive,8141
