Common Name,Tour Name,Image,Blurb
Sycamore,pton,,"Any tree tour should start on the front lawn of Maclean House, where you will find a weathered pair of sycamores ordered by the trustees in 1765. According to legend, they were planted to commerorate the repeal  of the Stamp Act in 1766. These trees,  the oldest on campus,  are barely past adolescence - for  the sycamore,  or ""buttonwood"" (so named because of its button-like seed balls), may live up to 600 years. Native to lowland areas in the East, the sycamore is the most massive of our native trees, and Native Americans favored its trunk for dugout canoes. Perhaps the trustees, preoccupied with the details of running a college, were just to busy to give much thought to landscaping. In any event,  the Stamp Act sycamoores may have been the only trees planted on campus until the dawn of the 19th century."
American Elm,pton,,"The once-doomed American elm, with its arching branches and urn-shaped structure, still survives in large numbers on the University campus. Many of the elms are a local cultivated variety called ""Princeton"" by the late horticulturist William Flemer. These majestic trees stand in allees along Washington Road, Elm Drive, and McCosh Walk and are scattered throughout the campus courtyards. They are still battling the Dutch elm disease fungus, which, left uncontrolled, will block the water flow in the xylem vessels of the trunk and branches. Only one-third of the elms inventoried in 1964 are still standing on campus. The oldest specimen of American elm, one that is well over 200 years old, spreads its branches over the front entrance to the campus behind Stanhope Hall."
London Planetree,pton,,"In the courtyard north of Blair Hall stands the largest London plane tree in the area. In the 18th century, horticulturists crossed the American sycamore (one seed ball per stalk) with the Oriental plane tree (three balls per stalk) to produce the London plane tree (two balls per stalk). As the name implies, the tree is often planted in cities. Like the sycamore, it can be identified by its mottled bark and large, fuzzy leaves."
American Basswood,pton,,"The softest of American forest woods, this smooth-grained tree with abundant foliage provides dense shade to the inner archway between Blair and Joline halls. Its close European relative, the linden, has long been sought for its unique wood and sinewy inner bark, which was used by borne on leaf-like bracts dangling alongside large, dark green leaves. Perfume oils extracted from the flowers and cooking oil extracted from the nuts have made this a very desirable trere throughout history. The age of this particular seven-story giant is unknown, but it was already a stately  shade tree when the courtyard enclosed it at the beginning of the 19th century. Still, this specimen is a youngster compared to some lindens in Central Europe, which are more than 900 years old."
Japanese Pagodatree,pton,,"This large, flowering ornamental tree, planted around the middle of the 20th century, stands near Foulke Hall on the former stire of the Princeton rail station (which served students and townsfolk traveling to Princeton Junction). The tree is native to China, Japan, and Korea and is characterized by compound dark green leaves and tan bark. Many students enjoy its filtered shade but miss the yellowish pea-like summer blossoms that for centuries were used to make a yellow dye. The trees were often planted around Buddhist temples - hence the name pagoda tree. On campus the fleshy, and sometimes slippery, seedpods fall to the walks below, covering the flagstone throughout the winter months."
Kentucky Coffeetree,pton,,"One passes this inconspicuous southern native on the west side of 1901 Hall on the way to the Dinky Station. The beans from its large brown seedpods were roasted and used as a coffee substitute by early Kentucky settlers. Naturally caffeine-free, the beverage never gained popularity. Another reason for lack of commercial success may be the toxic nature of the inner pod pulp. As a member of a larger family of leguminous trees - trees that have beanpods - the Kentucky coffee tree has large compound leaves and grows in colonies in its native woodland habitat."
Cedar of Lebanon,pton,,"This is the cedar of the Bible, and vast stands of such cedars once grew in the Near East before lumbering reduced their numbers. They may live 2,500 years and are unusual in their tortuous, twisting limbs, the lowerst ones forced to the ground below. This cedar stands in a prominent location in Cuyler Courtyard and is a mere 60-plus years old."
English Yew,pton,,"At Prospect House, one can see exotic tree species, some dating to the construction of the house in 1849 or even earlier. These species include a giant sequoia, a Spanish fir, a tigertail spruce, and a Himalayan pine, some of which have identifying plaques. Along the west side of the house stands an English yew,  an evergreen long regarded as a ""tree of life"", and sometimes planted in cemeteries in Europe. Yews have reportedly lived as long as 1,500 years. Like the holly, they are either male or female, and only the latter produce berries. The bark, leaves, and berries of the yew are poisonous, and ancient writers warned against sleeping under yew trees."
Tulip Poplar,pton,,"The tulip poplar is best known for its showy greenish yellow flowers with orange centers. The flowers are borne high on the tree, and hence often go unnoticed until they fall to the ground. The giant 130-foot specimen on the front lawn of Prospect House - one of the tallest trees on the Princeton campus - is more than 160 years old and predates the house.  The circumference is jsut over 16 feet."
Northern Red Oak,pton,,"The northern red oak on the west side of 1879 Hall is the largest of its kind on campus and is close to two centuries old. The northern red oak grows straight and tall and can live up to 500 years.  The New Jersey state tree, it is a relative of the black and scarlet oaks, distinguished by the jagged tips of its large-lobed leaves."
